Ativo;Data;Hora;Comprador;Preço;Quantidade;Vendedor;Tipo
FRP0;01/09/2026;09:45:45;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:45:45;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:45:45;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:45:45;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:45:45;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:45:45;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:45:45;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:45:45;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:45:45;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:45:45;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:45:45;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:45:45;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:45:45;114 - ITAU CV S/A;33,30;95;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:45:42;114 - ITAU CV S/A;33,30;125;122 - BGC LIQUIDEZ DTVM;Vendedor
FRP0;01/09/2026;09:45:42;27 - Santander CCVM S/A;33,30;5;122 - BGC LIQUIDEZ DTVM;Vendedor
FRP0;01/09/2026;09:45:14;92 - Elliot-Warren;33,40;20;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:43:05;1099 - INTER DTVM LTDA;33,40;15;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Comprador
FRP0;01/09/2026;09:42:50;27 - Santander CCVM S/A;33,30;5;27 - Santander CCVM S/A;Vendedor
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:01;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:00;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:00;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:00;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:00;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:00;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:00;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:42:00;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
FRP0;01/09/2026;09:41:56;27 - Santander CCVM S/A;33,30;5;23 - NECTON INVESTIMENTOS S.A. CVMC;Comprador
